 Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
 SWD-3;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	SWD-3	Embryos mixed stages 20 degree celsius	Lieb, J.	6297
 T09A5.8;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	T09A5.8	Germline containing Young adult 20 degree celsius	Lieb, J.	3917 and 6007
 T26A5.5;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	T26A5.5	Early Embryos 20 degree celsius	Lieb, J.	6329
 TAF-1;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	TAF-1	Embryos mixed stages 20 degree celsius	Lieb, J.	6251
 TBP-1;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	TBP-1	Embryos mixed stages 20 degree celsius	Lieb, J.	6223
 ZFP-1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	ZFP-1	Larvae L3 stage 20 degree celsius	Lieb, J.	6213
 ZHP-3;fem-2(b245);Germline containing Young adult;20 degree Celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	ZHP-3	Germline containing Young adult 20 degree Celsius	Lieb, J.	5218 and 5225
 ZIM-1;fem-2(b245);Germline containing Young adult;20 degree Celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	ZIM-1	Germline containing Young adult 20 degree Celsius	Lieb, J.	5227
 ZIM-3;fem-2(b245);Germline containing Young adult;20 degree Celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	ZIM-3	Germline containing Young adult 20 degree Celsius	Lieb, J.	5223
 ZYG-12;WH223;Germline containing Young adult;20 degree Celsius;ChIP-seq	C. elegans	ChIP-seq	Non TF Chromatin binding factor	ZYG-12	Germline containing Young adult 20 degree Celsius	Lieb, J.	5249
