 Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
 H3K4me1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K4me1	Larvae L3 stage 20 degree celsius	Lieb, J.	5048
 H3K4me2;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K4me2	Early Embryos 20 degree celsius	Lieb, J.	5157
 H3K4me2;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K4me2	Larvae L3 stage 20 degree celsius	Lieb, J.	5055
 H3K4me3;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K4me3	Early Embryos 20 degree celsius	Lieb, J.	5166
 H3K4me3;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K4me3	Larvae L3 stage 20 degree celsius	Lieb, J.	3576
 H3K79me1;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K79me1	Early Embryos 20 degree celsius	Lieb, J.	5168
 H3K79me2;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K79me2	Early Embryos 20 degree celsius	Lieb, J.	5169
 H3K79me2;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K79me2	Larvae L3 stage 20 degree celsius	Lieb, J.	5047
 H3K79me3;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K79me3	Early Embryos 20 degree celsius	Lieb, J.	5170
 H3K79me3;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K79me3	Germline containing Young adult 20 degree celsius	Lieb, J.	5173
 H3K79me3;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K79me3	Larvae L3 stage 20 degree celsius	Lieb, J.	5032
 H3K9acetyl;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9acetyl	Larvae L3 stage 20 degree celsius	Lieb, J.	3578
 H3K9acS10ph;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9acS10ph	Early Embryos 20 degree celsius	Lieb, J.	5149
 H3K9acS10ph;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9acS10ph	Larvae L3 stage 20 degree celsius	Lieb, J.	5988
 H3K9me1;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9me1	Early Embryos 20 degree celsius	Lieb, J.	5171
 H3K9me1;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9me1	Larvae L3 stage 20 degree celsius	Lieb, J.	5036
 H3K9me2;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9me2	Early Embryos 20 degree celsius	Lieb, J.	5161
 H3K9me2;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9me2	Larvae L3 stage 20 degree celsius	Lieb, J.	5050
 H3K9me3;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9me3	Early Embryos 20 degree celsius	Lieb, J.	5153, 5154, and 5155
 H3K9me3;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3K9me3	Larvae L3 stage 20 degree celsius	Lieb, J.	5037 and 5040
 H3S10ph;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H3S10ph	Germline containing Young adult 20 degree celsius	Lieb, J.	5244
 H4acTetra;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H4acTetra	Larvae L3 stage 20 degree celsius	Lieb, J.	3572
 H4K20me1;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H4K20me1	Embryos mixed stages 20 degree celsius	Lieb, J.	6210
 H4K20me1;TY1072;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H4K20me1	Embryos mixed stages 20 degree celsius	Lieb, J.	6211
 H4K8ac;Early Embryos;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H4K8ac	Early Embryos 20 degree celsius	Lieb, J.	5162
 H4K8ac;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	H4K8ac	Germline containing Young adult 20 degree celsius	Lieb, J.	6009
 HIM-17;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	HIM-17	Germline containing Young adult 20 degree celsius	Lieb, J.	3916
 HIM-3;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	HIM-3	Germline containing Young adult 20 degree celsius	Lieb, J.	5236 and 5240
 HIM-8;fem-2(b245);Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	HIM-8	Germline containing Young adult 20 degree celsius	Lieb, J.	5199
 LIN-35;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-35	Larvae L3 stage 20 degree celsius	Lieb, J.	3570
 LIN-35;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-35	Late Embryonic stage 20 degree celsius	Lieb, J.	3925
 LIN-37;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-37	Larvae L3 stage 20 degree celsius	Lieb, J.	3566
 LIN-37;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-37	Late Embryonic stage 20 degree celsius	Lieb, J.	3928
 LIN-52;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-52	Larvae L3 stage 20 degree celsius	Lieb, J.	3565
 LIN-52;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-52	Late Embryonic stage 20 degree celsius	Lieb, J.	3930
 LIN-54;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-54	Larvae L3 stage 20 degree celsius	Lieb, J.	3567
 LIN-54;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-54	Late Embryonic stage 20 degree celsius	Lieb, J.	3932
 LIN-9;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-9	Larvae L3 stage 20 degree celsius	Lieb, J.	3568
 LIN-9;Late Embryonic stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	LIN-9	Late Embryonic stage 20 degree celsius	Lieb, J.	3924
 MYS-3;Larvae L3 stage;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	MYS-3	Larvae L3 stage 20 degree celsius	Lieb, J.	6002
 NASP-1;YPT41;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	NASP-1	Embryos mixed stages 20 degree celsius	Lieb, J.	6011
 RPC-1;N2;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	RPC-1	Embryos mixed stages 20 degree celsius	Lieb, J.	3581
 SFC-1;N2;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	SFC-1	Embryos mixed stages 20 degree celsius	Lieb, J.	3580
 TAG315;Embryos mixed stages;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	TAG315	Embryos mixed stages 20 degree celsius	Lieb, J.	3579
 ZYG-12;WH223;Germline containing Young adult;20 degree celsius;ChIP-seq	C. elegans	ChIP-seq	Histone Modification	ZYG-12	Germline containing Young adult 20 degree celsius	Lieb, J.	5251, 5253, and 6325
